question,correct_answer,incorrect_answer_1,incorrect_answer_2,incorrect_answer_3,rationale
What is the capital of France?,Paris,Lyon,Marseille,Nice,Paris is the capital and most populous city of France.
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,Mars appears red due to iron oxide on its surface.
Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,Shakespeare is the famous playwright who authored 'Romeo and Juliet'.
What is the largest mammal?,Blue Whale,African Elephant,Hippopotamus,Giraffe,The Blue Whale is the largest mammal on Earth.
What is the chemical symbol for water?,H2O,HO2,OH2,H2,Water is composed of two hydrogen atoms and one oxygen atom, hence H2O.
In computing, what does CPU stand for?,Central Processing Unit,Central Performance Utility,Computer Processing Unit,Control Program Utility,CPU stands for Central Processing Unit and is the brain of the computer.
Which continent is the Sahara Desert located in?,Africa,Asia,Australia,South America,The Sahara Desert is in northern Africa.
What gas do humans need to survive?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Humans require oxygen for respiration to sustain life.
Who painted the Mona Lisa?,Leonardo da Vinci,Michelangelo,Rembrandt,Pablo Picasso,Leonardo da Vinci painted the Mona Lisa during the Renaissance.
What is the fastest land animal?,Cheetah,Lion,Horse,Greyhound,The cheetah is the fastest land animal, capable of speeds up to 70 mph.
